# binIdx ctxIdx symbol range offset
313 -1 1 448 198
314 247 1 405 198
315 255 1 310 198
316 255 1 496 396
317 255 1 397 396
318 255 0 324 322
319 -1 1 324 321
320 247 0 480 442
321 -1 1 480 405
322 247 1 418 405
323 256 0 276 224
324 -1 1 276 172
325 247 1 482 345
326 256 1 378 345
327 256 0 288 159
328 -1 1 288 30
329 247 1 510 61
330 256 1 388 61
331 256 1 288 61
332 256 1 444 122
333 256 1 354 122
334 256 1 282 122
335 256 1 452 244
336 256 1 363 244
337 256 1 301 244
338 256 1 506 489
339 256 0 304 239
340 -1 1 304 175
341 247 1 272 175
342 256 1 432 350
343 256 1 355 350
344 256 0 496 461
345 -1 1 496 426
346 247 1 446 426
347 256 0 360 283
348 -1 1 360 207
349 247 1 325 207
350 256 1 472 415
351 256 0 464 239
352 -1 1 464 15
353 247 1 419 15
354 256 1 302 15
355 256 1 450 30
356 256 1 328 30
357 256 1 486 60
358 256 1 376 60
359 256 1 300 60
360 256 1 482 121
361 256 1 388 121
362 256 1 311 121
363 256 1 260 121
364 256 1 424 243
365 256 1 358 243
366 256 1 305 243
367 -1 1 305 181
368 -1 1 305 58
369 -1 0 305 117
370 -1 0 305 234
371 -1 1 305 163
372 -1 1 305 22
373 247 1 279 22
374 256 1 476 45
375 256 1 411 45
376 256 1 357 45
377 256 1 314 45
378 256 1 281 45
379 256 1 498 90
380 256 1 448 90
381 256 1 400 90
382 256 1 361 90
383 256 1 330 90
384 256 1 300 90
385 256 1 277 90
386 256 1 510 181
387 -1 0 510 362
388 -1 1 510 215
389 247 1 469 215
390 256 1 434 215
391 256 1 405 215
392 256 1 378 215
393 256 1 356 215
394 256 1 335 215
395 256 1 315 215
396 256 1 300 215
397 256 1 286 215
398 256 1 272 215
399 256 1 259 215
400 256 1 494 431
401 256 1 474 431
402 256 1 455 431
403 -1 1 455 408
404 -1 1 455 362
405 -1 1 455 270
406 -1 1 455 86
407 -1 0 455 173
408 -1 0 455 346
409 -1 1 455 238
410 -1 1 455 21
411 -1 0 455 42
412 -1 0 455 85
413 247 1 416 85
414 256 1 401 85
415 256 1 386 85
416 256 1 372 85
417 256 1 361 85
418 256 1 350 85
419 256 1 340 85
420 256 1 331 85
421 256 1 322 85
422 256 1 313 85
423 256 1 306 85
424 256 1 300 85
425 256 1 294 85
426 256 1 288 85
427 -1 0 288 170
428 -1 1 288 52
429 96 1 268 52
430 134 1 488 104
431 195 0 479 104
432 135 1 410 104
433 196 0 402 104
434 136 1 351 104
435 197 0 343 104
436 137 1 508 209
437 198 0 499 209
438 138 1 419 209
439 199 0 410 209
440 139 1 324 209
441 200 0 316 209
442 140 0 444 17
443 141 1 349 17
444 202 0 341 17
445 142 1 256 17
446 203 0 498 34
447 143 1 376 34
448 204 0 362 34
449 144 1 282 34
450 205 0 270 34
451 145 1 350 69
452 206 0 333 69
453 146 1 458 138
454 207 0 421 138
455 147 1 277 138
456 208 0 496 277
457 148 1 368 277
458 209 0 279 277
459 248 1 264 257
460 252 0 328 277
461 -1 1 328 226
462 247 1 301 226
463 253 1 490 452
464 253 0 356 206
465 -1 1 356 57
466 247 1 330 57
467 254 1 265 57
468 254 1 428 115
469 254 1 359 115
470 254 1 303 115
471 254 1 260 115
472 254 1 438 230
473 254 1 382 230
474 254 1 337 230
475 254 1 294 230
476 254 1 261 230
477 254 0 256 8
478 -1 0 256 17
479 247 1 472 35
480 255 1 362 35
481 255 1 286 35
482 255 1 454 70
483 255 1 360 70
484 255 1 295 70
485 255 1 488 140
486 255 1 408 140
487 255 1 342 140
488 255 1 289 140
489 255 1 496 281
490 255 1 431 281
491 255 1 377 281
492 255 1 334 281
493 -1 1 334 228
494 -1 1 334 122
495 -1 0 334 244
496 -1 1 334 154
497 -1 0 334 308
498 -1 1 334 282
499 247 1 311 282
500 256 1 305 282
501 256 1 299 282
502 256 1 293 282
503 256 1 287 282
504 256 0 384 71
505 -1 0 384 142
506 247 1 358 142
507 256 1 334 142
508 256 1 311 142
509 256 1 293 142
510 256 1 276 142
511 256 1 260 142
512 256 1 490 285
513 256 1 466 285
514 256 1 443 285
515 256 1 424 285
516 256 1 406 285
517 256 1 389 285
518 256 1 373 285
519 256 1 360 285
520 -1 1 360 210
521 -1 1 360 60
522 -1 0 360 120
523 -1 0 360 241
524 -1 1 360 122
525 -1 0 360 245
526 247 1 339 245
527 256 1 327 245
528 256 1 315 245
529 256 1 306 245
530 256 1 297 245
531 256 1 289 245
532 256 1 281 245
533 256 1 274 245
534 256 1 267 245
535 256 1 260 245
536 256 1 508 491
537 256 1 498 491
538 256 0 288 87
539 -1 0 288 175
540 247 1 272 175
541 256 1 504 350
542 256 1 473 350
543 256 1 443 350
544 256 1 418 350
545 256 1 395 350
546 256 1 373 350
547 256 1 355 350
548 256 0 272 201
549 -1 1 272 130
550 247 1 257 130
551 256 1 460 260
552 256 1 417 260
553 256 1 382 260
554 256 1 354 260
555 256 1 327 260
556 256 1 301 260
557 256 1 281 260
558 256 1 262 260
559 256 0 288 267
560 -1 1 288 246
561 247 1 274 246
562 256 0 256 32
563 -1 0 256 65
564 247 1 484 131
565 256 1 408 131
566 256 1 345 131
567 256 1 295 131
568 256 1 256 131
569 256 1 438 263
570 256 1 387 263
571 256 1 339 263
572 256 1 300 263
573 256 1 270 263
574 256 0 464 352
575 -1 1 464 240
576 247 1 442 240
577 256 1 383 240
578 256 1 335 240
579 256 1 290 240
580 256 1 510 481
581 256 0 448 221
582 -1 0 448 443
583 247 0 336 262
584 -1 1 336 188
585 247 1 305 188
586 256 1 259 188
587 256 1 432 376
588 256 0 472 29
589 -1 0 472 59
590 247 1 431 59
591 256 1 354 59
592 256 1 292 59
593 256 1 488 119
594 256 1 412 119
595 256 1 349 119
596 256 1 299 119
597 256 1 260 119
598 256 1 446 239
599 256 1 395 239
600 256 1 347 239
601 256 1 308 239
602 256 1 278 239
603 256 1 498 478
604 -1 1 498 459
605 -1 1 498 420
606 -1 1 498 342
607 -1 1 498 186
608 -1 0 498 373
609 -1 1 498 249
610 -1 1 498 0
611 -1 0 498 0
612 -1 0 498 1
613 -1 0 498 3
614 96 1 467 3
615 134 1 428 3
616 195 0 420 3
617 135 1 364 3
618 196 0 357 3
619 136 1 316 3
620 197 0 310 3
621 137 1 482 7
622 198 0 473 7
623 138 1 397 7
624 199 0 389 7
625 139 1 308 7
626 200 0 302 7
627 140 1 372 14
628 201 0 364 14
629 141 1 288 14
630 202 0 282 14
631 142 1 432 28
632 203 0 422 28
633 143 1 322 28
634 204 0 309 28
635 144 1 494 57
636 205 0 475 57
637 145 1 325 57
638 206 0 309 57
639 146 1 456 114
640 207 0 421 114
641 147 1 284 114
642 208 0 257 114
643 148 1 368 229
644 209 0 283 229
645 248 1 308 92
646 252 1 510 185
647 252 1 425 185
648 252 1 356 185
649 252 1 300 185
650 252 1 257 185
651 252 1 432 371
652 252 1 376 371
653 252 0 360 323
654 -1 1 360 286
655 247 1 332 286
656 253 0 320 137
657 -1 0 320 275
658 247 1 293 275
659 254 0 368 230
660 -1 1 368 93
661 247 1 342 93
662 255 1 301 93
663 255 1 269 93
664 255 1 478 186
665 255 1 430 186
666 255 1 391 186
667 255 1 354 186
668 255 1 324 186
669 255 1 296 186
670 255 1 274 186
671 255 1 506 372
672 255 1 473 372
673 255 1 442 372
674 255 1 416 372
675 -1 1 416 328
676 -1 1 416 240
677 -1 1 416 64
678 -1 0 416 129
679 -1 0 416 259
680 -1 1 416 103
681 -1 0 416 206
682 -1 0 416 413
683 247 0 464 427
684 -1 1 464 391
685 247 1 408 391
686 256 0 312 179
687 -1 1 312 46
688 247 1 280 46
689 256 1 478 93
690 256 1 413 93
691 256 1 359 93
692 256 1 316 93
693 256 1 283 93
694 256 1 502 187
695 256 1 452 187
696 256 1 404 187
697 256 1 365 187
698 256 1 334 187
699 256 1 304 187
700 256 1 281 187
701 256 1 259 187
702 -1 1 259 116
703 -1 0 259 233
704 -1 1 259 208
705 -1 1 259 158
706 247 1 458 317
707 256 1 423 317
708 256 1 394 317
709 256 1 367 317
710 256 1 345 317
711 256 1 324 317
712 256 0 320 214
713 -1 1 320 109
714 247 1 285 109
715 256 1 510 219
716 256 1 462 219
717 256 1 417 219
718 256 1 380 219
719 256 1 350 219
720 256 1 322 219
721 256 1 295 219
722 256 1 274 219
723 256 1 508 438
724 256 1 477 438
725 256 1 447 438
726 256 0 400 268
727 -1 1 400 136
728 247 1 361 136
729 256 1 324 136
730 256 1 289 136
731 256 1 262 136
732 256 1 472 272
733 256 1 431 272
734 256 1 398 272
735 256 1 366 272
736 256 1 340 272
737 256 1 316 272
738 256 1 297 272
739 256 1 279 272
740 256 0 272 170
741 -1 1 272 69
742 247 1 492 138
743 256 1 442 138
744 256 1 401 138
745 256 1 362 138
746 256 1 331 138
747 256 1 301 138
748 256 1 278 138
749 256 1 256 138
750 256 1 470 277
751 256 1 437 277
752 256 1 410 277
753 256 1 384 277
754 256 1 359 277
755 256 1 339 277
756 -1 1 339 216
